Date,EURUSD=X,GBPUSD=X,JPY=X
2010-01-01,1.4389938116073608,1.6132936477661133,92.91999816894531
2010-01-04,1.4423978328704834,1.6113698482513428,92.49500274658203
2010-01-05,1.4365959167480469,1.599078893661499,91.58499908447266
2010-01-06,1.4404033422470093,1.602384328842163,92.35600280761719
2010-01-07,1.4318032264709473,1.5933969020843506,93.38999938964844
2010-01-08,1.44110906124115,1.602410078048706,92.66000366210938
2010-01-11,1.4511260986328125,1.6112918853759766,92.09200286865234
2010-01-12,1.447659969329834,1.615169644355774,91.08000183105469
2010-01-13,1.4523905515670776,1.628611445426941,91.43299865722656
2010-01-14,1.4499897956848145,1.6333998441696167,91.26699829101562
2010-01-15,1.4390974044799805,1.6269950866699219,90.75
2010-01-18,1.4406731128692627,1.63529634475708,90.70500183105469
2010-01-19,1.4281021356582642,1.6356706619262695,91.1989974975586
2010-01-20,1.4110342264175415,1.6298059225082397,91.19200134277344
2010-01-21,1.4097015857696533,1.620509147644043,90.39299774169922
2010-01-22,1.414107084274292,1.611006498336792,89.80999755859375
2010-01-25,1.4150075912475586,1.6250121593475342,90.41500091552734
2010-01-26,1.4082324504852295,1.614700198173523,89.62999725341797
2010-01-27,1.4030951261520386,1.6178088188171387,89.94999694824219
2010-01-28,1.3968042135238647,1.614309310913086,89.77799987792969
2010-01-29,1.3866932392120361,1.5984909534454346,90.2699966430664
2010-02-01,1.3926994800567627,1.595252513885498,90.76000213623047
2010-02-02,1.3976240158081055,1.599206805229187,90.4280014038086
2010-02-03,1.3901052474975586,1.5920017957687378,90.83999633789062
2010-02-04,1.3744947910308838,1.5769885778427124,89.41000366210938
2010-02-05,1.368007779121399,1.565802812576294,89.22000122070312
2010-02-08,1.3654673099517822,1.5576082468032837,89.22000122070312
2010-02-09,1.378207802772522,1.5693906545639038,89.76799774169922
2010-02-10,1.3753266334533691,1.5612071752548218,89.93000030517578
2010-02-11,1.3681762218475342,1.5702037811279297,89.80999755859375
2010-02-12,1.363493800163269,1.5698094367980957,89.94999694824219
2010-02-15,1.3603036403656006,1.5667105913162231,90.05000305175781
2010-02-16,1.3767088651657104,1.579005479812622,90.24400329589844
2010-02-17,1.3606922626495361,1.5682092905044556,91.05000305175781
2010-02-18,1.3461486101150513,1.5423054695129395,91.97699737548828
2010-02-19,1.3615074157714844,1.5464078187942505,91.54000091552734
2010-02-22,1.3605626821517944,1.548658847808838,91.23500061035156
2010-02-23,1.3527040481567383,1.5445923805236816,90.16000366210938
2010-02-24,1.354316234588623,1.5417109727859497,90.27899932861328
2010-02-25,1.3536012172698975,1.5243902206420898,89.2699966430664
2010-02-26,1.3631035089492798,1.523902416229248,88.9209976196289
2010-03-01,1.356208086013794,1.4978805780410767,89.1500015258789
2010-03-02,1.3620638847351074,1.5028102397918701,88.73999786376953
2010-03-03,1.3701633214950562,1.5103002786636353,88.56999969482422
2010-03-04,1.3584003448486328,1.50360107421875,89.16000366210938
2010-03-05,1.3628991842269897,1.5132943391799927,90.22000122070312
2010-03-08,1.3616927862167358,1.504189133644104,90.28600311279297
2010-03-09,1.3606922626495361,1.5016368627548218,89.98899841308594
2010-03-10,1.3643310070037842,1.4970060586929321,90.47000122070312
2010-03-11,1.3685319423675537,1.507204532623291,90.64800262451172
2010-03-12,1.376993179321289,1.5216069221496582,90.54000091552734
2010-03-15,1.3677457571029663,1.505434513092041,90.31999969482422
2010-03-16,1.3768794536590576,1.5236934423446655,90.29000091552734
2010-03-17,1.3738338947296143,1.5317922830581665,90.40299987792969
2010-03-18,1.361396312713623,1.5253669023513794,90.4800033569336
2010-03-19,1.353692889213562,1.5017945766448975,90.5199966430664
2010-03-22,1.356704831123352,1.5108022689819336,90.33999633789062
2010-03-23,1.3468012809753418,1.5021330118179321,90.36599731445312
2010-03-24,1.3331022262573242,1.4898910522460938,92.01399993896484
2010-03-25,1.3307074308395386,1.4844944477081299,92.51300048828125
2010-03-26,1.3410038948059082,1.4898022413253784,92.50700378417969
2010-03-29,1.3481086492538452,1.498194694519043,92.48999786376953
2010-03-30,1.3424079418182373,1.5074089765548706,92.81999969482422
2010-03-31,1.3508037328720093,1.5183724164962769,93.5199966430664
2010-04-01,1.3584003448486328,1.5291922092437744,93.8499984741211
2010-04-02,1.3504936695098877,1.5210051536560059,94.52999877929688
2010-04-05,1.34890878200531,1.5298004150390625,94.33000183105469
2010-04-06,1.3401951789855957,1.5270905494689941,93.79399871826172
2010-04-07,1.3348461389541626,1.5242043733596802,93.30899810791016
2010-04-08,1.336112380027771,1.5283042192459106,93.41999816894531
2010-04-09,1.3500925302505493,1.536995530128479,93.16000366210938
2010-04-12,1.3596007823944092,1.5373972654342651,93.18299865722656
2010-04-13,1.3608589172363281,1.5377753973007202,93.18000030517578
2010-04-14,1.3655978441238403,1.5472211837768555,93.31800079345703
2010-04-15,1.3574045896530151,1.54655122756958,93.04000091552734
2010-04-16,1.3504024744033813,1.536405086517334,92.1500015258789
2010-04-19,1.348726749420166,1.533530592918396,92.45999908447266
2010-04-20,1.343508243560791,1.5363816022872925,93.1709976196289
2010-04-21,1.3389928340911865,1.5413308143615723,93.05400085449219
2010-04-22,1.3269991874694824,1.5373972654342651,93.39800262451172
2010-04-23,1.338401436805725,1.5382012128829956,93.94999694824219
2010-04-26,1.3401232957839966,1.5467904806137085,93.9000015258789
2010-04-27,1.3170719146728516,1.5247621536254883,93.14399719238281
2010-04-28,1.321283221244812,1.520426869392395,93.95999908447266
2010-04-29,1.3262951374053955,1.5356029272079468,94.01300048828125
